id	atu_id	alternatives
231	155	[['snake', 'wolf', 'bear', 'tiger']]
232	156	[[], ['wolf', 'tiger', 'bear']]
233	156A	[['lion', 'dragon']]
236	156B*	[[], ['man', 'person','woman'], [], []]
237	156C*	[]
238	157	[[], ['wolf', 'lion', 'bear']]
239	157A	[]
240	157B	[]
241	157C*	[]
242	158	[]
243	159	[]
244	159A	[]
245	159B	[['lion', 'bear']]
246	159C	[]
247	159*	[['stag', 'donkey']]
248	160	[['tiger', 'lion', 'crow'], ['monkey', 'bear'], ['man'], []]
250	160*	[[]]
255	161	[]
256	161B	[]
258	162	[]
260	162A*	[]
261	163	[[]]
265	165	[[]]
266	165B*	[]
267	166A*	[]
268	166B*	[[]]
272	168	[[], ['bear']]
273	168A	[]
274	169*	[[], [], []]
279	169K*	[]
281	170	[]
283	171A*	[]
285	173	[[], ['god', 'zeus']]
286	175	[['rabbit', 'hare', 'fox', 'jackal'], []]
287	177	[[], [], ['man', 'thief'], []]
288	178	[]
289	178A	[[], ['dog', 'cat', 'mouse']]
290	178B	[]
291	178C	[['falcon', 'horse']]
292	179	[[]]
293	179*	[[], []]
294	179A*	[[]]
295	179A**	[]
296	179B*	[]
297	180	[]
298	181	[[], ['leopard', 'tiger'], []]
299	182	[]
300	183*	[]
301	184	[[], []]
302	185	[]
303	186	[]
304	200	[[]]
305	200A	[[]]
306	200B	[[], []]
307	200C*	[[], [], ['hare', 'stag'], ['dog', 'hare'], []]
308	200D*	[]
309	201	[['dog', 'wolf', 'lion', 'donkey', 'goldfinch', 'butterfly']]
310	201D*	[]
311	201F*	[[]]
312	201G*	[]
313	202	[['horse', 'donkey', 'lion', 'fox', 'goat'], [], []]
314	203	[[], []]
315	204	[[], ['duck', 'rooster', 'sheep', 'goose', 'pig', 'goat', 'cat', 'mouse', 'rat']]
316	206	[]
317	207	[]
318	207A	[]
319	207B.	[]
320	207C	[[], ['horse', 'donkey']]
321	207A*	[[], ['horse', 'donkey']]
322	209	[]
323	210	[['dog', 'mouse', 'crayfish'], []]
324	210*	[['duck', 'crayfish']]
325	211	[[], [], []]
326	211B*	[[], ['gander', 'duck'], ['drake', 'goat'], ['boar', 'turkey']]
327	212	[[], ['goat'], ['bee', 'hedgehog', 'ant']]
328	214	[['ass', 'dog']]
329	214A	[['donkey', 'scorpion'], ['fox', 'camel','frog']]
330	214B	[[], ['donkey', 'hare']]
331	214*	[[]]
332	215	[['jackdaw', 'crow']]
333	217	[[], ['cat', 'monkey', 'dog']]
335	218	[['cat', 'weasel']]
336	219E*	[]
337	219E**	[['hen', 'goose'], [], []]
338	219F*	[[]]
339	219H*	[]
340	220	[]
341	220A	[]
342	221	[]
343	221A	[]
344	221B	[]
345	222	[['bird', 'insect'], [], ['bear', 'wolf', 'lion'], ['wren', 'insect']]
346	222A	[[]]
347	222B	[[], []]
349	223	[[], ['jackal', 'fox'], ['bird', 'lark']]
350	224	[['bird', 'beetle'],[], ['turtle', 'peacock', 'frog', 'mouse', 'owl', 'hoopoo', 'lark', 'nightingale'], ['beetle', 'grasshopper', 'ant'], ['bird', 'insect'], []]
352	225	[['fox', 'jackal', 'wolf', 'tortoise'], ['crane', 'stork']]
353	225A	[[], ['bird', 'heron','geese', 'swan'], ['bird', 'eagle']]
354	226	[[]]
355	227	[['fox', 'wolf'], ['geese', 'duck', 'piglet'], []]
356	227*	[[]]
357	228	[[], ['titmouse', 'wren'], ['gnat', 'bee'], ['bear', 'tiger', 'wolf']]
358	229	[['hawk', 'snipe'], ['rooster', 'fox']]
359	230	[['eagle', 'hawk']]
360	230*	[[]]
361	201	[[], ['heron', 'crane']]
362	231*	[['fox', 'lion', 'bear']]
363	231**	[[], []]
364	232	[]
365	232C*	[]
366	232D*	[[]]
367	233A	[[]]
368	233B	[['mouse', 'rat']]
369	233C	[['swallow', 'owl', 'tortoise'], []]
