Source	Target	Weight
crocodile	snake	1
crane	snake	1
coyote	snake	1
cat	snake	1
camel	snake	1
bee	snake	1
ant	snake	1
*supernatural	snake	1
*raptores	snake	1
*bug	snake	1
monkey	sheep	1
eagle	sheep	1
duck	sheep	1
deer	sheep	1
camel	sheep	1
lark	rabbit	1
fly	rabbit	1
duck	rabbit	1
crab	rabbit	1
bee	rabbit	1
magpie	pig	1
hyena	pig	1
eagle	pig	1
*small animal	pig	1
*bird	pig	1
mouse	owl	1
lark	owl	1
frog	owl	1
crow	owl	1
ant	owl	1
monkey	mouse	1
lark	mouse	1
jackal	mouse	1
fly	mouse	1
eagle	mouse	1
crow	mouse	1
crayfish	mouse	1
crab	mouse	1
ant	mouse	1
*fish	mouse	1
hyena	monkey	1
horse	monkey	1
goat	monkey	1
deer	monkey	1
crow	monkey	1
camel	monkey	1
bee	monkey	1
*small animal	monkey	1
*fish	monkey	1
*big cat	monkey	1
lark	magpie	1
hyena	magpie	1
human	magpie	1
goose	magpie	1
fly	magpie	1
duck	magpie	1
dog	magpie	1
crocodile	magpie	1
cattle	magpie	1
cat	magpie	1
bear	magpie	1
*big cat	magpie	1
lion	lion	1
frog	lion	1
crow	lion	1
crane	lion	1
chicken	lion	1
bee	lion	1
*large animal	lion	1
*fish	lion	1
jackal	lark	1
human	lark	1
goose	lark	1
elephant	lark	1
duck	lark	1
crow	lark	1
crocodile	lark	1
bee	lark	1
ant	lark	1
eagle	jackal	1
duck	jackal	1
*vermin	jackal	1
*supernatural	jackal	1
horse	hyena	1
goat	hyena	1
dove	hyena	1
crow	hyena	1
cat	hyena	1
bee	hyena	1
*fish	hyena	1
elephant	human	1
crab	human	1
coyote	human	1
bee	human	1
ant	human	1
*raptores	human	1
*bug	human	1
frog	horse	1
elephant	horse	1
deer	horse	1
crocodile	horse	1
cat	horse	1
*vermin	horse	1
*raptores	horse	1
*large animal	horse	1
*bug	horse	1
*bird	horse	1
*big cat	horse	1
goose	heron	1
eagle	heron	1
duck	heron	1
dog	heron	1
crow	heron	1
crab	heron	1
cat	heron	1
bear	heron	1
*fish	heron	1
goose	goose	1
eagle	goose	1
*large animal	goose	1
*fish	goose	1
*big cat	goose	1
goat	goat	1
crocodile	goat	1
bee	goat	1
ant	goat	1
*supernatural	goat	1
*large animal	goat	1
*bug	goat	1
elephant	frog	1
duck	frog	1
dove	frog	1
crane	frog	1
cattle	frog	1
camel	frog	1
*supernatural	frog	1
*fish	frog	1
fly	fox	1
eagle	fox	1
ant	fox	1
*large animal	fox	1
eagle	fly	1
crow	fly	1
bee	fly	1
*bird	fly	1
crow	elephant	1
crocodile	elephant	1
cat	elephant	1
bee	elephant	1
bear	elephant	1
*big cat	elephant	1
dove	eagle	1
donkey	eagle	1
dog	eagle	1
deer	eagle	1
cattle	eagle	1
*supernatural	eagle	1
*bug	eagle	1
duck	duck	1
dog	duck	1
cat	duck	1
*fish	duck	1
donkey	dove	1
crocodile	dove	1
crane	dove	1
cattle	dove	1
camel	dove	1
bear	dove	1
ant	dove	1
*vermin	dove	1
*small animal	dove	1
*fish	dove	1
*bug	dove	1
*big cat	dove	1
crane	donkey	1
crayfish	dog	1
cattle	dog	1
*large animal	dog	1
*bug	dog	1
deer	deer	1
crow	deer	1
coyote	deer	1
camel	deer	1
bee	deer	1
*fish	deer	1
*bird	deer	1
crayfish	crow	1
crane	crow	1
crab	crow	1
cattle	crow	1
ant	crow	1
*vermin	crow	1
*small animal	crow	1
*bug	crow	1
chicken	crocodile	1
cat	crocodile	1
camel	crocodile	1
*fish	crocodile	1
*bug	crocodile	1
crab	crayfish	1
*vermin	crayfish	1
*small animal	crayfish	1
crab	crane	1
cat	crane	1
camel	crane	1
bear	crane	1
ant	crane	1
*supernatural	crane	1
*raptores	crane	1
*fish	crane	1
coyote	crab	1
bear	crab	1
*vermin	crab	1
*big cat	crab	1
bee	coyote	1
*supernatural	coyote	1
*fish	coyote	1
*big cat	coyote	1
*raptores	chicken	1
*large animal	chicken	1
cat	cattle	1
*vermin	cattle	1
*small animal	cattle	1
*large animal	cattle	1
*bug	cattle	1
*large animal	cat	1
*fish	cat	1
*bug	camel	1
*vermin	bee	1
*small animal	bee	1
*raptores	bee	1
*big cat	bear	1
*supernatural	ant	1
*small animal	ant	1
*small animal	*vermin	1
*large animal	*vermin	1
*small animal	*supernatural	1
*bug	*supernatural	1
*bird	*supernatural	1
*raptores	*small animal	1
*big cat	*small animal	1
*large animal	*large animal	1
*fish	*large animal	1
*bug	*large animal	1
